GEOID,Pop_Urban,Pop_Rural,%Urban_pop
48259,19127,25152,43.2
48261,0,350,0.0
48263,0,753,0.0
48265,31844,20754,60.54
48267,0,4286,0.0
48269,0,265,0.0
48271,0,3129,0.0
48273,24945,6095,80.36
48275,0,3353,0.0
48277,26292,23796,52.49
48279,5626,7419,43.13
48281,7324,14303,33.87
48283,0,6664,0.0
48285,3582,16755,17.61
48287,0,17478,0.0
48289,0,15719,0.0
48291,20735,70893,22.63
48293,6661,15485,30.08
48295,0,3059,0.0
48297,0,11335,0.0
48299,10576,10667,49.79
48301,0,64,0.0
48303,277958,32681,89.48
48305,0,5596,0.0
48307,4887,2743,64.05
48309,197983,62596,75.98
48311,0,600,0.0
48313,0,13455,0.0
48315,0,9725,0.0
48317,0,5237,0.0
48319,0,3953,0.0
48321,19311,16944,53.26
48323,54083,3804,93.43
48325,7987,42761,15.74
48327,0,1962,0.0
48329,146659,23324,86.28
48331,10615,14139,42.88
48333,0,4456,0.0
48335,5839,3151,64.95
48337,5419,14546,27.14
48339,478509,141934,77.12
48341,14639,6719,68.54
48343,0,11973,0.0
48345,0,1063,0.0
48347,33732,30921,52.17
48349,24380,28244,46.33
48351,0,12217,0.0
48353,10372,4366,70.38
48355,331009,22169,93.72
48357,8391,1624,83.78
48359,0,1758,0.0
48361,54219,30589,63.93
48363,14097,14312,49.62
48365,6328,16163,28.14
48367,52844,95378,35.65
48369,0,9869,0.0
48371,8551,6642,56.28
48373,5592,44531,11.16
48375,105174,13351,88.74
48377,0,6131,0.0
48379,0,12164,0.0
48381,116857,23896,83.02
48383,0,3385,0.0
48385,0,2758,0.0
48387,0,11587,0.0
48389,13081,1667,88.7
48391,0,6741,0.0
48393,0,827,0.0
48395,0,16757,0.0
48397,93009,14810,86.26
48399,0,9900,0.0
48401,18758,33456,35.93
48403,0,9894,0.0
48405,0,7918,0.0
48407,0,27402,0.0
48409,49619,19136,72.17
48411,0,5730,0.0
48413,0,2451,0.0
48415,11547,5385,68.2
48417,0,3105,0.0
48419,5123,18899,21.33
48421,0,2782,0.0
48423,151937,81542,65.08
48425,0,9205,0.0
48427,47070,18850,71.4
48429,5455,3646,59.94
48431,0,1372,0.0
48433,0,1245,0.0
48435,0,3372,0.0
48437,0,6971,0.0
48439,2084718,25922,98.77
48441,118138,25070,82.49
48443,0,760,0.0
48445,8264,3567,69.85
48447,0,1440,0.0
48449,15419,15828,49.35
48451,99982,20021,83.32
48453,1224251,65937,94.89
48455,0,13602,0.0
48457,0,19798,0.0
48459,7896,32996,19.31
48461,0,3308,0.0
48463,15926,8638,64.83
48465,42680,4906,89.69
48467,0,59541,0.0
48469,65986,25333,72.26
48471,43415,32985,56.83
48473,12858,43936,22.64
48475,9162,2482,78.68
48477,17395,18410,48.58
48479,251462,15652,94.14
48481,21812,19758,52.47
48483,0,4990,0.0
48485,112860,16490,87.25
48487,9524,3363,73.9
48489,12986,7178,64.4
48491,553276,55741,90.85
48493,6313,43440,12.69
48495,6381,1410,81.9
48497,6515,62117,9.49
48499,5699,39144,12.71
48501,0,7694,0.0
48503,8585,9282,48.05
48505,10942,2947,78.78
48507,6709,2961,69.38
49001,0,7072,0.0
49003,39364,18302,68.26
49005,113927,19227,85.56
49007,13346,7066,65.38
49009,0,935,0.0
49011,359645,3034,99.16
