GEOID,TOTAL_VOTES,DEM_VOTES,DEM_SHARE,REP_VOTES,REP_SHARE,THRD_VOTES,THRD_SHARE,PARTY_WIN,PARTY_LEAD, 
4005,73272,44698,61,27052,36.92,1522,2.08,1,0.24,
4007,27662,8943,32.33,18377,66.43,342,1.24,0,-0.34,
4009,14995,4034,26.9,10749,71.68,212,1.41,0,-0.45,
4011,3685,1182,32.08,2433,66.02,70,1.9,0,-0.34,
4012,7458,2236,29.98,5129,68.77,93,1.25,0,-0.39,
4013,2068144,1040774,50.32,995665,48.14,31705,1.53,1,0.02,
4015,104668,24831,23.72,78535,75.03,1302,1.24,0,-0.51,
4017,51767,23383,45.17,27657,53.43,727,1.4,0,-0.08,
4019,520397,304981,58.61,207758,39.92,7658,1.47,1,0.19,
4021,184974,75106,40.6,107077,57.89,2791,1.51,0,-0.17,
4023,19556,13138,67.18,6194,31.67,224,1.15,1,0.36,
4025,143221,49602,34.63,91527,63.91,2092,1.46,0,-0.29,
4027,69881,32210,46.09,36534,52.28,1137,1.63,0,-0.06,
5001,6292,1818,28.89,4304,68.4,170,2.7,0,-0.4,
5003,7926,2125,26.81,5548,70,253,3.19,0,-0.43,
5005,21007,4635,22.06,15836,75.38,536,2.55,0,-0.53,
5007,119912,42249,35.23,73965,61.68,3698,3.08,0,-0.26,
5009,17114,3064,17.9,13652,79.77,398,2.33,0,-0.62,
5011,3654,1214,33.22,2335,63.9,105,2.87,0,-0.31,
5013,2182,479,21.95,1636,74.98,67,3.07,0,-0.53,
5015,11797,4023,34.1,7424,62.93,350,2.97,0,-0.29,
5017,4103,2260,55.08,1752,42.7,91,2.22,1,0.12,
5019,8395,3438,40.95,4616,54.99,341,4.06,0,-0.14,
5021,5183,962,18.56,4086,78.83,135,2.6,0,-0.6,
5023,12680,1988,15.68,10328,81.45,364,2.87,0,-0.66,
5025,3600,651,18.08,2867,79.64,82,2.28,0,-0.62,
5027,8616,2814,32.66,5500,63.83,302,3.51,0,-0.31,
5029,8685,2615,30.11,5694,65.56,376,4.33,0,-0.35,
5031,38511,11921,30.95,25558,66.37,1032,2.68,0,-0.35,
5033,24091,4959,20.58,18607,77.24,525,2.18,0,-0.57,
5035,16367,8514,52.02,7333,44.8,520,3.18,1,0.07,
5037,6942,1772,25.53,4946,71.25,224,3.23,0,-0.46,
5039,2649,963,36.35,1573,59.38,113,4.27,0,-0.23,
5041,4164,2016,48.41,1921,46.13,227,5.45,1,0.02,
5043,6908,2426,35.12,4349,62.96,133,1.93,0,-0.28,
5045,54428,18347,33.71,34421,63.24,1660,3.05,0,-0.3,
5047,7129,1300,18.24,5677,79.63,152,2.13,0,-0.61,
5049,5119,1035,20.22,3961,77.38,123,2.4,0,-0.57,
